what,kind,bundleId,bundleVersion,description,time
started,bundle,com.aptana.debug.core,3.0.3.1337406272,"com.aptana.debug.core",1356209743987
started,bundle,com.aptana.js.debug.core,3.0.3.1337406272,"com.aptana.js.debug.core",1356209744319
started,bundle,com.aptana.webserver.core,3.0.0.1337406272,"com.aptana.webserver.core",1356209744972
started,bundle,com.aptana.js.debug.ui,3.0.0.1337406272,"com.aptana.js.debug.ui",1356209745027
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1356209745562
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356209746212
started,bundle,com.aptana.core.epl,3.0.0.1342116881,"com.aptana.core.epl",1356209746350
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1356209746363
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1356209766722
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1356209768087
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1356209768471
opened,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1356209769002
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1356209769930
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.100.v201101252155,"org.eclipse.jst.ws.jaxws.dom.integration",1356209770961
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1356209771111
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1356209863917
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1356209863936
closed,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1356209863985
opened,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1356209872240
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1356209872427
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.views.showView",1356209872428
started,bundle,com.aptana.index.core.ui,3.0.0.1337868086,"com.aptana.index.core.ui",1356209875054
started,bundle,com.aptana.index.core,3.0.0.1340998921,"com.aptana.index.core",1356209875135
started,bundle,com.aptana.deploy,3.0.3.1338904888,"com.aptana.deploy",1356209877718
started,bundle,com.aptana.deploy.heroku,3.0.3.1339628739,"com.aptana.deploy.heroku",1356209877770
started,bundle,com.aptana.deploy.capistrano,3.0.3.1339628739,"com.aptana.deploy.capistrano",1356209877850
started,bundle,com.aptana.deploy.engineyard,3.0.3.1339628739,"com.aptana.deploy.engineyard",1356209877969
started,bundle,com.aptana.deploy.ftp,3.0.3.1339628739,"com.aptana.deploy.ftp",1356209877988
started,bundle,com.aptana.editor.common,3.0.3.1342126218,"com.aptana.editor.common",1356209885410
